Tsat,Psat,vf,vfg,vg,uf,ufg,ug,hf,hfg,hg,sf,sfg,sg
-16,226.4,0.001515,0.5277,0.5292,126.09,1197.1,1323.2,126.4,1316.6,1443,0.7238,5.1199,5.8437
-14,246.5,0.001521,0.487,0.4885,135.18,1190,1325.1,135.6,1310,1445.6,0.759,5.0551,5.8141
-12,268,0.001527,0.4501,0.4516,144.28,1182.8,1327.1,144.7,1303.4,1448.1,0.794,4.991,5.785
-10,290.9,0.001534,0.4165,0.418,153.39,1175.5,1328.9,153.8,1296.7,1450.5,0.8288,4.9276,5.7564
-8,315.3,0.00154,0.3859,0.3874,162.53,1168.2,1330.8,163,1289.9,1452.9,0.8634,4.8649,5.7282
-6,341.3,0.001546,0.3579,0.3595,171.68,1160.9,1332.6,172.2,1283.1,1455.3,0.8978,4.8028,5.7005
-4,369,0.001553,0.3324,0.334,180.86,1153.5,1334.3,181.4,1276.1,1457.6,0.932,4.7413,5.6733
-2,398.4,0.001559,0.309,0.3106,190.06,1146,1336,190.7,1269.1,1459.8,0.9661,4.6804,5.6465
0,429.6,0.001566,0.2876,0.2892,199.29,1138.4,1337.7,200,1262,1461.9,1,4.6201,5.6201
2,462.7,0.001573,0.2679,0.2695,208.54,1130.8,1339.3,209.3,1254.8,1464,1.0337,4.5603,5.5941
4,497.7,0.001579,0.2498,0.2514,217.81,1123.1,1340.9,218.6,1247.5,1466.1,1.0673,4.5011,5.5684
6,534.8,0.001586,0.2332,0.23481,227.11,1115.4,1342.5,228,1240.1,1468.1,1.1008,4.4424,5.5432
8,573.9,0.001594,0.2179,0.2195,236.44,1107.5,1344,237.4,1232.6,1470,1.1341,4.3842,5.5183
10,615.3,0.001601,0.2038,0.2054,245.79,1099.6,1345.4,246.8,1225,1471.8,1.1672,4.3264,5.4937
12,658.9,0.001608,0.1907,0.1923,255.16,1091.7,1346.8,256.2,1217.4,1473.6,1.2002,4.2692,5.4694
14,704.9,0.001615,0.1787,0.1803,264.55,1083.7,1348.2,265.7,1209.6,1475.3,1.2331,4.2124,5.4455
16,753.2,0.001623,0.1675,0.1691,273.97,1075.5,1349.5,275.2,1201.7,1476.9,1.2658,4.156,5.4218
18,804.1,0.001631,0.1572,0.1588,283.41,1067.4,1350.8,284.7,1193.7,1478.5,1.2984,4.1001,5.3984
20,857.6,0.001638,0.1476,0.1492,292.87,1059.1,1352,294.3,1185.7,1479.9,1.3308,4.0446,5.3753
22,913.8,0.001646,0.1387,0.1403,302.35,1050.8,1353.1,303.9,1177.5,1481.3,1.363,3.9894,5.3524
24,972.7,0.001655,0.1304,0.132,311.86,1042.4,1354.2,313.5,1169.2,1482.7,1.3951,3.9347,5.3298
26,1034.5,0.001663,0.1227,0.1243,321.38,1033.9,1355.3,323.1,1160.8,1483.9,1.4271,3.8803,5.3074
28,1099.3,0.001671,0.1155,0.1172,330.92,1025.3,1356.2,332.8,1152.3,1485,1.4589,3.8263,5.2852
30,1167.1,0.00168,0.1088,0.1105,340.48,1016.7,1357.2,342.4,1143.7,1486.1,1.4906,3.7726,5.2632
32,1238,0.001689,0.1026,0.1043,350.07,1007.9,1358,352.2,1134.9,1487.1,1.5222,3.7193,5.2414
34,1312.2,0.001698,0.0967,0.0984,359.67,999.1,1358.8,361.9,1126.1,1488,1.5536,3.6662,5.2198
36,1389.6,0.001707,0.0913,0.093,369.3,990.2,1359.5,371.7,1117.1,1488.8,1.5849,3.6134,5.1983
38,1470.5,0.001716,0.0862,0.0879,378.96,981.2,1360.2,381.5,1108,1489.4,1.616,3.5609,5.1769
40,1554.9,0.001725,0.0814,0.0831,388.64,972.1,1360.8,391.3,1098.7,1490,1.6471,3.5086,5.1557
42,1642.9,0.001735,0.0769,0.0787,398.34,962.9,1361.3,401.2,1089.3,1490.5,1.678,3.4565,5.1346
44,1734.7,0.001745,0.0727,0.0745,408.08,953.6,1361.7,411.1,1079.8,1490.9,1.7089,3.4047,5.1135
46,1830.2,0.001755,0.0688,0.0706,417.84,944.2,1362,421.1,1070.1,1491.2,1.7396,3.353,5.0926
48,1929.6,0.001766,0.0651,0.0669,427.64,934.7,1362.3,431,1060.3,1491.3,1.7703,3.3015,5.0717
50,2033.1,0.001776,0.0616,0.0634,437.47,925,1362.5,441.1,1050.3,1491.3,1.8009,3.2501,5.0509
