Psat,Tsat,vf,vfg,vg,uf,ufg,ug,hf,hfg,hg,sf,sfg,sg
240,-14.6,0.001519,0.4995,0.501,132.3,1192.2,1324.5,132.7,1312.1,1444.8,0.7479,5.0755,5.823
260,-12.7,0.001525,0.4631,0.4646,140.97,1185.4,1326.4,141.4,1305.8,1447.2,0.7813,5.0142,5.7955
280,-10.9,0.001531,0.4318,0.4333,149.14,1178.9,1328.1,149.6,1299.8,1449.4,0.8126,4.9571,5.7697
300,-9.2,0.001536,0.4045,0.4061,156.87,1172.8,1329.6,157.3,1294.1,1451.5,0.842,4.9036,5.7451
320,-7.6,0.001541,0.3805,0.3821,164.21,1166.9,1331.1,164.7,1288.7,1453.4,0.8697,4.8534,5.7231
340,-6.1,0.001546,0.3593,0.3608,171.23,1161.2,1332.5,171.8,1283.4,1455.2,0.8961,4.8058,5.7019
360,-4.6,0.001551,0.3403,0.3419,177.93,1155.8,1333.8,178.5,1278.3,1456.8,0.9211,4.7608,5.6819
380,-3.2,0.001555,0.3233,0.3248,184.36,1150.6,1335,184.9,1273.5,1458.4,0.945,4.7181,5.6631
400,-1.9,0.00156,0.3078,0.3094,190.55,1145.6,1336.1,191.2,1268.7,1459.9,0.9679,4.6772,5.6451
450,1.2,0.00157,0.2751,0.2767,205.05,1133.7,1338.7,205.8,1257.5,1463.31,1.021,4.5828,5.6031
500,4.1,0.00158,0.2488,0.2503,218.4,1122.6,1341,219.2,1247,1466.2,1.0694,4.4974,5.5668
550,6.8,0.001589,0.227,0.2286,230.8,1112.3,1343.1,231.7,1237.1,1468.8,1.114,4.4193,5.5333
600,9.3,0.001598,0.2088,0.2104,242.39,1102.5,1344.9,243.3,1227.8,1471.1,1.1552,4.3474,5.5026
650,11.6,0.001607,0.1933,0.1949,253.28,1093.3,1346.6,254.3,1218.9,1473.2,1.1937,4.2806,5.4742
700,13.8,0.001615,0.1799,0.1815,263.59,1084.5,1348.1,264.7,1210.4,1475.1,1.2297,4.2182,5.4475
750,15.9,0.001622,0.1682,0.1698,273.36,1076.1,1349.4,274.6,1202.2,1476.8,1.2637,4.1597,5.4233
800,17.8,0.00163,0.1579,0.1596,282.67,1068,1350.7,284,1194.4,1478.3,1.2958,4.1045,5.4003
850,19.7,0.001637,0.1489,0.1505,291.55,1060.3,1351.8,292.9,1186.8,1479.7,1.3263,4.0523,5.3785
900,21.5,0.001645,0.1407,0.1424,300.07,1052.8,1352.9,301.5,1179.5,1481,1.3553,4.0027,5.3575
950,23.2,0.001651,0.1335,0.1351,308.24,1045.6,1353.8,309.8,1172.4,1482.2,1.3829,3.9555,5.3384
1000,24.9,0.001658,0.1269,0.1285,316.1,1038.6,1354.7,317.8,1165.5,1483.2,1.4094,3.9104,5.3198
1050,26.5,0.001665,0.1209,0.1225,323.69,1031.8,1355.5,325.4,1158.7,1484.2,1.4348,3.8672,5.302
1100,28,0.001671,0.1154,0.1171,331.02,1025.2,1356.3,332.9,1152.2,1485.1,1.4592,3.8257,5.285
1150,29.5,0.001678,0.1104,0.1121,338.12,1018.8,1356.9,340,1145.8,1485.9,1.4828,3.7858,5.2686
1200,30.9,0.001684,0.1058,0.1075,344.98,1012.6,1357.6,347,1139.6,1486.6,1.5054,3.7475,5.253
1250,32.3,0.00169,0.1016,0.1033,351.65,1006.5,1358.2,353.8,1133.5,1487.2,1.5273,3.7105,5.2378
1300,33.7,0.001696,0.0977,0.0993,358.13,1000.6,1358.7,360.3,1127.5,1487.8,1.5485,3.6747,5.2232
1350,35,0.001702,0.094,0.0957,364.42,994.7,1359.2,366.7,1121.7,1488.4,1.569,3.6401,5.2091
1400,36.3,0.001708,0.0906,0.0923,370.57,989,1359.6,373,1115.9,1488.9,1.5889,3.6065,5.1955
1410,37.5,0.001714,0.0874,0.0891,376.55,983.5,1360,379,1110.2,1489.3,1.6083,3.5739,5.1822
1500,38.7,0.001719,0.0845,0.0862,382.39,978,1360.4,385,1104.7,1489.7,1.6271,3.5423,5.1694
1600,41,0.00173,0.0791,0.0808,393.65,967.4,1361,396.4,1093.9,1490.3,1.6631,3.4817,5.1447
1700,43.3,0.001741,0.0743,0.076,404.44,957.1,1361.5,407.4,1083.4,1490.8,1.6974,3.424,5.1214
1800,45.4,0.001752,0.07,0.0718,414.79,947.2,1361.9,417.9,1073.1,1491.1,1.73,3.3691,5.0991
1900,47.4,0.001763,0.0662,0.0679,424.75,937.5,1362.2,428.1,1063.2,1491.3,1.7613,3.3166,5.0779
2000,49.41,0.001773,0.0627,0.0645,434.37,928.1,1362.4,437.9,1053.4,1491.3,1.7913,3.2662,5.0575
